rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
407,#area889,Black Lagoon,TV,12,2006,484355,8.1
410,#area589,Ginga Nagareboshi Gin,TV,21,1986,15305,8.1
412,#area16,Hachimitsu to Clover,TV,24,2005,170726,8.1
414,#area4814,Junjou Romantica 2,TV,12,2008,113506,8.1
415,#area153,Juuni Kokuki,TV,45,2002,88108,8.1
416,#area6045,Kimi ni Todoke,TV,25,2009,448492,8.1
419,#area7720,Ookiku Furikabutte: Natsu no Taikai-hen,TV,13,2010,28753,8.1
423,#area4789,ef: A Tale of Melodies.,TV,12,2008,126866,8.1
424,#area2004,Hanada Shounen-shi,TV,25,2002,8807,8.1
425,#area21877,High Score Girl,TV,12,2018,43733,8.1
426,#area9656,Kimi ni Todoke 2nd Season,TV,12,2011,239646,8.1
429,#area31741,Magi: Sinbad no Bouken (TV),TV,13,2016,182076,8.1
432,#area535,Slayers Next,TV,26,1996,49372,8.1
433,#area16049,Toaru Kagaku no Railgun S,TV,24,2013,196129,8.1
434,#area1065,Touch,TV,101,1985,18740,8.1
435,#area1471,City Hunter 2,TV,63,1988,12172,8.1
436,#area23199,Durarara!!x2 Shou,TV,12,2015,282014,8.1
440,#area2076,Kindaichi Shounen no Jikenbo,TV,148,1997,14041,8.1
441,#area33489,Little Witch Academia (TV),TV,25,2017,274962,8.1
443,#area846,School Rumble Ni Gakki,TV,26,2006,113099,8.1
445,#area14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,2013,575233,8.1
446,#area18179,Yowamushi Pedal,TV,38,2013,133932,8.1
447,#area14075,Zetsuen no Tempest,TV,24,2012,368766,8.1
449,#area22043,Fairy Tail (2014),TV,102,2014,447233,8.0
451,#area37989,Golden Kamuy 2nd Season,TV,12,2018,35683,8.0
453,#area1530,Kanon (2006),TV,24,2006,197410,8.0
456,#area10049,Nurarihyon no Mago: Sennen Makyou,TV,24,2011,104507,8.0
458,#area5682,Phantom: Requiem for the Phantom,TV,26,2009,214415,8.0
